All hps: 2021-11-21 13:28:39 model=clp_mnist dataset=mnist attack=square_linf n_ex=10000 eps=0.3 p=0.8 n_iter=20000
Clean accuracy: 98.82%
102: acc=80.18% acc_corr=81.14% avg#q_ae=15.15 med#q=3.0, avg_margin=1.18 (n_ex=9882, eps=0.300, 432.77s)
103: acc=78.81% acc_corr=79.75% avg#q_ae=21.23 med#q=3.0, avg_margin=1.13 (n_ex=9882, eps=0.300, 437.04s)
104: acc=77.57% acc_corr=78.50% avg#q_ae=26.12 med#q=4.0, avg_margin=1.09 (n_ex=9882, eps=0.300, 441.03s)
105: acc=76.70% acc_corr=77.62% avg#q_ae=29.26 med#q=4.0, avg_margin=1.06 (n_ex=9882, eps=0.300, 445.01s)
106: acc=75.84% acc_corr=76.75% avg#q_ae=32.17 med#q=4.0, avg_margin=1.03 (n_ex=9882, eps=0.300, 448.87s)
107: acc=75.16% acc_corr=76.06% avg#q_ae=34.35 med#q=5.0, avg_margin=1.00 (n_ex=9882, eps=0.300, 452.73s)
108: acc=74.41% acc_corr=75.30% avg#q_ae=36.65 med#q=6.0, avg_margin=0.98 (n_ex=9882, eps=0.300, 456.56s)
109: acc=73.74% acc_corr=74.62% avg#q_ae=38.61 med#q=8.0, avg_margin=0.95 (n_ex=9882, eps=0.300, 460.33s)
110: acc=73.07% acc_corr=73.94% avg#q_ae=40.49 med#q=24.0, avg_margin=0.93 (n_ex=9882, eps=0.300, 464.09s)
111: acc=72.56% acc_corr=73.43% avg#q_ae=41.88 med#q=24.0, avg_margin=0.91 (n_ex=9882, eps=0.300, 467.78s)
112: acc=72.01% acc_corr=72.87% avg#q_ae=43.34 med#q=25.0, avg_margin=0.90 (n_ex=9882, eps=0.300, 471.45s)
113: acc=71.43% acc_corr=72.28% avg#q_ae=44.83 med#q=26.0, avg_margin=0.88 (n_ex=9882, eps=0.300, 475.03s)
114: acc=70.81% acc_corr=71.66% avg#q_ae=46.39 med#q=26.0, avg_margin=0.87 (n_ex=9882, eps=0.300, 478.64s)
